id,text,target
1,deeds the reason this earthquake allah forgive all,1
2,forest fire la long ask canada,1
3,residents to shelter place being notified officers other evacuation shelter place are expected,1
4,people receive wildfire evacuation in california,1
5,got this photo ruby alaska smoke wildfire pours school,1
6,rocky fire update california why closed both directions to lake county fire ca fire wildfire,1
7,flood disaster heavy rain flash flooding streets mani to colorado springs,1
8,on top the hill see fire the woods,1
9,an emergency evacuation happening in building the street,1
10,afraid the tornado coming our area,1
11,people died the heat wave far,1
12,hah south tampa getting flooded hah wait second live south tampa gonna what am gonna fvc flooding,1
13,raining flooding florida tampa bay tampa days ive lost count,1
14,flood ago myanmar arrived ago,1
15,damage school bus in multi car crash breaking,1
16,up,0
17,love fruits,0
18,summer lovely,0
19,car so fast,0
20,go ooo ooo aaaaa,0
21,is ridiculous,0
22,london cool,0
23,love skiing,0
24,wonderful day,0
25,loo ooo ol,0
26,way eat shit,0
27,in nec week,0
28,love girlfriend,0
29,co ooo,0
30,you pasta,0
31,end,0
32,bbc td wholesale markets ablaze,1
33,always to bring heavy metal rt,0
34,african baz breaking news nigeria flag set ablaze aba,1
35,crying for set ablaze,0
36,plus look the sky night was ablaze,0
37,phd squares ufc they ve built much hype new acquisitions doubt will set ep ablaze season,0
38,in ec office big set ablaze,1
39,barbados bridgetown jamaica cars set ablaze santa cruz head the st elizabeth police superintend,1
40,ablaze you lord,0
41,check out nsf,0
42,the you re ablaze alive you re dead inside,0
43,an awesome time visiting cfc head office an cop site ablaze to it vida taking care us,0
44,so ooo pumped ablaze south ridge life,0
45,wanted set chicago ablaze preaching not my hotel,0
46,gained followers the week know stats grow,0
47,the west burned thousands wildfire ablaze california,1
48,building perfect blacklist life leave streets ablaze,0
49,check out nsf,0
50,night retainers in quite weird get to to wear every single night the year least,0
51,deputies shot brighton set ablaze,1
52,wife six jail setting ablaze niece,1
53,santa cruz head the st elizabeth police superintendent lan ford salmon,0
54,police arsonist deliberately set black church north carolina ablaze,1
55,niche el best alexis sanchez happy see teammates training hard goodnight gunners,0
56,kurds trampling turkmen flag set ablaze others vandalized offices turkmen front diana,1
57,truck ablaze voor trek ker ave or rambo in tl cargo section,1
58,set hearts ablaze every city gift every skyline like kiss the lips,0
59,sky ablaze tonight los angeles expecting ig fb be filled sunset shots my peeps,0
60,the west burned thousands wildfire ablaze california climate energy,1
61,revel yours mv videos means mac farewell ablaze mv en route did gt rw,0
62,progressive month students have set pens ablaze in the torch publications,0
63,rene ablaze amp finta secret fallen skies edit mar,0
64,na vista steve fires here something california tinderbox this clown setting hood ablaze news,1
65,now playing rene ablaze amp ian buff magnitude erm,0
66,no west midlands huge fire wholesale markets ablaze,1
67,ablaze time your talk until dont if can it to work,0
68,cant kids up got bicycle accident amp split testicles impossible me have kids michael are father,0
69,accident nashville traffic traffic moving slower usual,1
70,accident center lane blocked santa clara us nb great america pay bay area traffic,1
71,personal injury accident summer read advice amp how solicitor help otley hour,0
72,st louis car accident lawyer speeding top of teen accidents car accident tee,0
73,reported motor vehicle accident curry herman near stephenson involving overturned vehicle use,1
74,big rig radio live accident awareness,1
75,mile marker south mooresville tredell vehicle accident ramp closed pm,1
76,rt sleep junkies sleeping pills double risk car accident,0
77,accident knew was gon happen,0
78,traffic accident carrillo why magellan av mir,1
79,mile marker south mooresville tredell vehicle accident congestion pm,1
80,pastor not the scene the accident who the owner the range rover,1
81,mom dint home fast we wished why that mom was accident some truck spilt mayonnaise over,0
82,was horrible car accident past sunday finally to around you god,1
83,wait see pissed donnie when tell in accident,0
84,truck crash overturns fort worth interstate click if you ve in crash gt,1
85,accident nashville us sb sr traffic,1
86,carolina accident motorcyclist dies crash car crossed median motorcycle rider traveling,1
87,fbi cad fbi accident property damage nhs pine rd horn dale dr,1
88,rt na ay accident years on to chand nee mag near mm taxi rammed me halfway turned con,1
89,accident left lane blocked manchester rt nb eddy stop go traffic to na delay mins traffic,1
90,accident property damage pine rd horn dale dr,1
91,was accident,0
92,fbi cad fbi accident property damage wp th st,1
93,pm traffic accident injury will is foreman,1
94,shi qui actress and ag gar wal her near fatal accident,1
95,suffield alberta accident,1
96,mile backup south accident blocking right lanes exit lang tree rd consider nc nc nc alternate,1
97,an accident changed life will you determine options can financially support life care plans ongoing treatment,0
